area_fips,industry_code,emp
01000,11,12522.666666666666
01000,21,6410.333333333333
01000,22,22004.333333333336
01000,23,94633.33333333333
01000,31-33,268622.6666666667
01000,42,74486.33333333333
01000,44-45,229777
01000,48-49,75331.66666666667
01000,51,21717
01000,52,71896
01000,53,24227.666666666668
01000,54,109122.66666666667
01000,55,16124
01000,56,129021
01000,61,157203.33333333334
01000,62,280385.3333333333
01000,71,27220.666666666664
01000,72,189984.3333333333
01000,81,47728
01000,92,127446.33333333334
02000,11,1870
02000,21,13442.333333333334
02000,22,2379
02000,23,19005.666666666668
02000,31-33,20105
02000,42,6654
02000,44-45,37320.333333333336
02000,48-49,24799.333333333336
02000,51,5318
02000,52,6693
02000,53,5107
02000,54,13964
02000,55,2917.3333333333335
02000,56,12727
02000,61,20049.333333333332
02000,62,49552.666666666664
02000,71,7634.333333333333
02000,72,36911.666666666664
02000,81,10128.666666666666
02000,92,41654.333333333336
04000,11,17709.333333333332
04000,21,13589
04000,22,22944.333333333336
04000,23,175514.3333333333
04000,31-33,178301.6666666667
04000,42,98790.33333333333
04000,44-45,322797.3333333333
04000,48-49,113322
04000,51,50520.66666666667
04000,52,168859.33333333334
04000,53,55901.333333333336
04000,54,159526.3333333333
04000,55,30335
04000,56,256870.66666666666
04000,61,210204.6666666667
04000,62,414311
04000,71,62410.33333333333
04000,72,286424.6666666667
04000,81,78358
04000,92,151616.6666666667
05000,11,12547.333333333334
05000,21,3881.6666666666665
05000,22,11576.666666666666
05000,23,53512
05000,31-33,161814.66666666666
05000,42,47487
05000,44-45,136031.3333333333
05000,48-49,62164
05000,51,12585.333333333334
05000,52,38096
05000,53,14147
05000,54,45310.666666666664
05000,55,33852.333333333336
05000,56,66869
05000,61,82105.66666666667
05000,62,203865
05000,71,16481.666666666668
05000,72,109796.66666666667
05000,81,25432.333333333336
05000,92,57442
06000,11,478700
06000,21,20168.333333333332
06000,22,106599
06000,23,917299
06000,31-33,1332753.3333333333
06000,42,694382.6666666666
06000,44-45,1649111.3333333333
06000,48-49,748747.6666666667
06000,51,565685
06000,52,544295.6666666666
06000,53,307125
06000,54,1354311.3333333333
06000,55,255734
06000,56,1147759.6666666667
06000,61,1324122
06000,62,2617396.3333333335
06000,71,396047.3333333333
06000,72,1748767.6666666667
06000,81,557414
06000,92,859015.3333333334
08000,11,21477
08000,21,28871.333333333332
08000,22,14347
08000,23,187341.33333333334
08000,31-33,151303.66666666666
08000,42,110971.66666666667
08000,44-45,271512
08000,48-49,96535.33333333333
08000,51,78808.66666666667
08000,52,113255
08000,53,56042
08000,54,237848
08000,55,42739.666666666664
08000,56,168842.66666666666
08000,61,218606
08000,62,354498.6666666667
08000,71,62231
