stateabb,statename,statefips,sector,sectorname,endweek,ic,ic_share_sumic,ic_headline,emp,ic_share_emp,emp_state_total
OR,Oregon,41,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,2175.663248573365,0.04580536545903754,47498,106659.33333333333,0.02039824533474206,1951471.3333333333
OR,Oregon,41,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,488.09628965607715,0.010276144040929663,47498,70933.66666666667,0.006881024379435394,1951471.3333333333
OR,Oregon,41,71,"Arts, Entertainment, and Recreation",2020-03-28,1317.8599820714082,0.02774558891051009,47498,37691.666666666664,0.034964226807112316,1951471.3333333333
OR,Oregon,41,23,Construction,2020-03-28,3523.6398102192975,0.07418501432100925,47498,118920.66666666666,0.0296301720212856,1951471.3333333333
OR,Oregon,41,61,Educational Services,2020-03-28,924.2674421146993,0.01945908126899447,47498,118152,0.007822698237141134,1951471.3333333333
OR,Oregon,41,52,Finance and Insurance,2020-03-28,230.54760915670028,0.004853838249119969,47498,57792,0.003989265108608463,1951471.3333333333
OR,Oregon,41,62,Health Care and Social Assistance,2020-03-28,7893.659356757111,0.16618929969171567,47498,286112.3333333333,0.027589371156400498,1951471.3333333333
OR,Oregon,41,51,Information,2020-03-28,498.48131709556816,0.010494785403502635,47498,37062.333333333336,0.01344980934179989,1951471.3333333333
OR,Oregon,41,55,Management of Companies and Enterprises,2020-03-28,273.12622165861336,0.005750267835669152,47498,51020,0.00535331677104299,1951471.3333333333
OR,Oregon,41,31-33,Manufacturing,2020-03-28,3982.6580230447994,0.08384896254673459,47498,199766,0.01993661595589239,1951471.3333333333
OR,Oregon,41,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,58.15615366114962,0.0012243916304086407,47498,1868.3333333333333,0.03112729009517375,1951471.3333333333
OR,Oregon,41,81,Other Services (except Public Administration),2020-03-28,2627.4119421912237,0.0553162647309618,47498,79664,0.032981170192197526,1951471.3333333333
OR,Oregon,41,54,"Professional, Scientific, and Technical Services",2020-03-28,960.6150381529177,0.020224326037999868,47498,103616.66666666666,0.009270854477911383,1951471.3333333333
OR,Oregon,41,92,Public Administration,2020-03-28,276.2417298904607,0.005815860244441044,47498,82917.33333333334,0.0033315317652576944,1951471.3333333333
OR,Oregon,41,53,Real Estate and Rental and Leasing,2020-03-28,687.4888164943044,0.014474058202330716,47498,30899.666666666668,0.022249069024292745,1951471.3333333333
OR,Oregon,41,44-45,Retail Trade,2020-03-28,4739.726523383693,0.09978791787830421,47498,210297,0.022538250775730007,1951471.3333333333
OR,Oregon,41,48-49,Transportation and Warehousing,2020-03-28,1124.6984716968755,0.02367885956665282,47498,76706.33333333333,0.014662393870521888,1951471.3333333333
OR,Oregon,41,22,Utilities,2020-03-28,12.462032927389203,2.6236963508756585e-4,47498,9238,0.0013489968529323665,1951471.3333333333
OR,Oregon,41,42,Wholesale Trade,2020-03-28,909.7284036994118,0.019152983361392307,47498,76392.66666666667,0.011908582896692681,1951471.3333333333
OR,Oregon,41,42,Wholesale Trade,2020-04-04,1507.7696304319888,0.02401365914556904,62788,76392.66666666667,0.01973709907275553,1951471.3333333333
OR,Oregon,41,22,Utilities,2020-04-04,29.970955956599166,4.7733573225137234e-4,62788,9238,0.0032443121840873747,1951471.3333333333
OR,Oregon,41,48-49,Transportation and Warehousing,2020-04-04,1671.4571591180304,0.026620646606326535,62788,76706.33333333333,0.02179034098598591,1951471.3333333333
OR,Oregon,41,44-45,Retail Trade,2020-04-04,8194.750995979364,0.13051460463750023,62788,210297,0.03896751259399499,1951471.3333333333
OR,Oregon,41,53,Real Estate and Rental and Leasing,2020-04-04,1137.7435972755145,0.018120398758927098,62788,30899.666666666668,0.03682057834309478,1951471.3333333333
OR,Oregon,41,92,Public Administration,2020-04-04,461.09163010152565,0.007343626650021113,62788,82917.33333333334,0.005560859371199334,1951471.3333333333
OR,Oregon,41,54,"Professional, Scientific, and Technical Services",2020-04-04,1694.5117406231068,0.02698782793882759,62788,103616.66666666666,0.01635366003496645,1951471.3333333333
OR,Oregon,41,81,Other Services (except Public Administration),2020-04-04,3649.5402522535755,0.05812480493491711,62788,79664,0.045811662134133055,1951471.3333333333
OR,Oregon,41,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-04-04,63.40009913895977,0.001009748664377903,62788,1868.3333333333333,0.0339340405739303,1951471.3333333333
OR,Oregon,41,31-33,Manufacturing,2020-04-04,5482.37948190714,0.08731572086875103,62788,199766,0.0274440068976059,1951471.3333333333
OR,Oregon,41,55,Management of Companies and Enterprises,2020-04-04,269.7386036093925,0.004296021590262351,62788,51020,0.005286918926095501,1951471.3333333333
OR,Oregon,41,51,Information,2020-04-04,621.3209715618058,0.00989553691090345,62788,37062.333333333336,0.01676421627245467,1951471.3333333333
OR,Oregon,41,62,Health Care and Social Assistance,2020-04-04,10139.404945932549,0.16148635003396428,62788,286112.3333333333,0.03543854551044363,1951471.3333333333
OR,Oregon,41,52,Finance and Insurance,2020-04-04,372.33149130698195,0.0059299785198920485,62788,57792,0.006442613014032772,1951471.3333333333
OR,Oregon,41,61,Educational Services,2020-04-04,1507.7696304319888,0.02401365914556904,62788,118152,0.012761270485747078,1951471.3333333333
OR,Oregon,41,23,Construction,2020-04-04,5241.459105179092,0.083478675944115,62788,118920.66666666666,0.044075258338997086,1951471.3333333333
OR,Oregon,41,71,"Arts, Entertainment, and Recreation",2020-04-04,2092.2032715856726,0.0333217059244708,62788,37691.666666666664,0.055508377755976286,1951471.3333333333
OR,Oregon,41,11,"Agriculture, Forestry, Fishing, and Hunting",2020-04-04,708.9283812810958,0.011290825974407462,62788,70933.66666666667,0.009994244124056218,1951471.3333333333
OR,Oregon,41,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-04-04,3417.841708127559,0.0544346325432815,62788,106659.33333333333,0.03204446907094449,1951471.3333333333
OR,Oregon,41,72,Accommodation and Food Services,2020-04-04,14524.386348198057,0.23132423947566505,62788,195761.33333333334,0.07419435749074411,1951471.3333333333
WA,Washington,53,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-14,402.75204576149997,0.02828314928100421,14240,130840.33333333334,0.0030781948922083144,3497852.3333333335
WA,Washington,53,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,967.9169394294378,0.007450730429988975,129909,130840.33333333334,0.0073976954565190475,3497852.3333333335
WA,Washington,53,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,1646.4536726461138,0.00900444450145264,182849,130840.33333333334,0.012583686014094382,3497852.3333333335
WA,Washington,53,11,"Agriculture, Forestry, Fishing, and Hunting",2020-04-04,1792.6327084412223,0.010467805972725704,171252,130840.33333333334,0.013700918231951072,3497852.3333333335
WA,Washington,53,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-14,13.575911654882022,9.533645825057599e-4,14240,2237.6666666666665,0.006066994632004479,3497852.3333333335
WA,Washington,53,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-21,26.85549889746417,2.0672546857772878e-4,129909,2237.6666666666665,0.012001563636584615,3497852.3333333335
WA,Washington,53,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,208.73842858333919,0.001141589117705534,182849,2237.6666666666665,0.0932839692760342,3497852.3333333335
WA,Washington,53,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-04-04,185.64863801139307,0.001084066977386501,171252,2237.6666666666665,0.08296527842010715,3497852.3333333335
WA,Washington,53,22,Utilities,2020-03-14,20.36386748232303,0.0014300468737586398,14240,19749.666666666668,0.001031099300358978,3497852.3333333335
WA,Washington,53,22,Utilities,2020-03-21,48.11610219128996,3.7038313120176403e-4,129909,19749.666666666668,0.002436299457777682,3497852.3333333335
WA,Washington,53,22,Utilities,2020-03-28,105.5419020926996,5.772079808623487e-4,182849,19749.666666666668,0.005343983970667839,3497852.3333333335
WA,Washington,53,22,Utilities,2020-04-04,197.47339202485756,0.0011531158294493353,171252,19749.666666666668,0.009998821517233584,3497852.3333333335
WA,Washington,53,23,Construction,2020-03-14,2238.894097084293,0.15722570906490824,14240,213687.33333333334,0.01047743009451953,3497852.3333333335
WA,Washington,53,23,Construction,2020-03-21,5829.88121899118,0.04487665380374862,129909,213687.33333333334,0.02728229665301256,3497852.3333333335
WA,Washington,53,23,Construction,2020-03-28,32859.8848726615,0.17971049813048748,182849,213687.33333333334,0.1537755390554806,3497852.3333333335
WA,Washington,53,23,Construction,2020-04-04,28845.304940445367,0.16843776972207838,171252,213687.33333333334,0.13498837058090496,3497852.3333333335
WA,Washington,53,31-33,Manufacturing,2020-03-14,1118.8813855565265,0.07857313100818304,14240,309168.3333333333,0.0036190038400543178,3497852.3333333335
WA,Washington,53,31-33,Manufacturing,2020-03-21,5903.733840959207,0.04544514884233738,129909,309168.3333333333,0.019095532124223182,3497852.3333333335
WA,Washington,53,31-33,Manufacturing,2020-03-28,16378.930516985947,0.08957626520782694,182849,309168.3333333333,0.05297738723883736,3497852.3333333335
WA,Washington,53,31-33,Manufacturing,2020-04-04,15340.25338166753,0.08957707578111514,171252,309168.3333333333,0.049617802755783084,3497852.3333333335
WA,Washington,53,42,Wholesale Trade,2020-03-14,392.57011202033846,0.02756812584412489,14240,134919,0.0029096725592417556,3497852.3333333335
WA,Washington,53,42,Wholesale Trade,2020-03-21,2186.485201901874,0.016830898566703417,129909,134919,0.016205910226890757,3497852.3333333335
WA,Washington,53,42,Wholesale Trade,2020-03-28,6106.185379963186,0.03339468840389166,182849,134919,0.04525815770916762,3497852.3333333335
WA,Washington,53,42,Wholesale Trade,2020-04-04,7104.312211289488,0.041484550319350944,171252,134919,0.052656128575586006,3497852.3333333335
WA,Washington,53,44-45,Retail Trade,2020-03-14,763.6450305871138,0.053626757765948996,14240,389292.6666666667,0.0019616219260584935,3497852.3333333335
WA,Washington,53,44-45,Retail Trade,2020-03-21,9735.11835033076,0.07493798235942668,129909,389292.6666666667,0.025007196857028114,3497852.3333333335
WA,Washington,53,44-45,Retail Trade,2020-03-28,25801.476998261962,0.14110811105481552,182849,389292.6666666667,0.06627783980414553,3497852.3333333335
WA,Washington,53,44-45,Retail Trade,2020-04-04,24250.205530813048,0.1416053858104609,171252,389292.6666666667,0.06229299343975924,3497852.3333333335
WA,Washington,53,48-49,Transportation and Warehousing,2020-03-14,643.7244776356558,0.045205370620481446,14240,134809.66666666666,0.004775061711467198,3497852.3333333335
WA,Washington,53,48-49,Transportation and Warehousing,2020-03-21,2170.819494211687,0.016710308710033078,129909,134809.66666666666,0.016102847428436293,3497852.3333333335
WA,Washington,53,48-49,Transportation and Warehousing,2020-03-28,4258.029405539914,0.02328713531679098,182849,134809.66666666666,0.03158549020129551,3497852.3333333335
WA,Washington,53,48-49,Transportation and Warehousing,2020-04-04,5468.948731227343,0.031935094079060936,171252,134809.66666666666,0.04056792711126559,3497852.3333333335
WA,Washington,53,51,Information,2020-03-14,225.13386827679355,0.015809962659887187,14240,152793.66666666666,0.0014734502626207908,3497852.3333333335
WA,Washington,53,51,Information,2020-03-21,1506.1458964994486,0.011593853362734288,129909,152793.66666666666,0.009857384336389044,3497852.3333333335
WA,Washington,53,51,Information,2020-03-28,1786.0035209686832,0.009767641720592857,182849,152793.66666666666,0.011688989209644488,3497852.3333333335
WA,Washington,53,51,Information,2020-04-04,2001.9308544795442,0.011689970654237873,171252,152793.66666666666,0.013102184783921307,3497852.3333333335
