stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
AL,Alabama,1,55,Management of Companies and Enterprises,2020-04-04,295,16124,0.018295708260977425,0.004209655093682664,106739
AL,Alabama,1,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-14,0,129021,0,0,1819
AL,Alabama,1,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-21,1238,129021,0.009595337193170104,0.13543375998249643,10892
AL,Alabama,1,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,6506,129021,0.05042589965974531,0.10946412046773786,80984
AL,Alabama,1,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-04-04,7672,129021,0.05946318816316724,0.10947957247028269,106739
AL,Alabama,1,61,Educational Services,2020-03-14,21,157203.33333333334,1.335849536693454e-4,0.0155096011816839,1819
AL,Alabama,1,61,Educational Services,2020-03-21,309,157203.33333333334,0.001965607175420368,0.03380374138496882,10892
AL,Alabama,1,61,Educational Services,2020-03-28,0,157203.33333333334,0,0,80984
AL,Alabama,1,61,Educational Services,2020-04-04,1653,157203.33333333334,0.010515044210258475,0.023588338541889634,106739
AL,Alabama,1,62,Health Care and Social Assistance,2020-03-14,182,280385.3333333333,6.49106705533813e-4,0.1344165435745938,1819
AL,Alabama,1,62,Health Care and Social Assistance,2020-03-21,1123,280385.3333333333,0.004005202364365231,0.12285307953177989,10892
AL,Alabama,1,62,Health Care and Social Assistance,2020-03-28,7324,280385.3333333333,0.02612119511719586,0.12322705476571044,80984
AL,Alabama,1,62,Health Care and Social Assistance,2020-04-04,10483,280385.3333333333,0.03738783293467562,0.14959259100703512,106739
AL,Alabama,1,71,"Arts, Entertainment, and Recreation",2020-03-14,8,27220.666666666664,2.9389434498297866e-4,0.005908419497784343,1819
AL,Alabama,1,71,"Arts, Entertainment, and Recreation",2020-03-21,247,27220.666666666664,0.009073987901349466,0.02702111366371294,10892
AL,Alabama,1,71,"Arts, Entertainment, and Recreation",2020-03-28,1512,27220.666666666664,0.05554603120178296,0.025439555817279382,80984
AL,Alabama,1,71,"Arts, Entertainment, and Recreation",2020-04-04,1568,27220.666666666664,0.05760329161666381,0.02237538707421836,106739
AL,Alabama,1,72,Accommodation and Food Services,2020-03-14,141,189984.3333333333,7.421664593396299e-4,0.10413589364844904,1819
AL,Alabama,1,72,Accommodation and Food Services,2020-03-21,3199,189984.3333333333,0.01683823052076224,0.3499617109725413,10892
AL,Alabama,1,72,Accommodation and Food Services,2020-03-28,17632,189984.3333333333,0.0928076525608252,0.2966602170438294,80984
AL,Alabama,1,72,Accommodation and Food Services,2020-04-04,12121,189984.3333333333,0.06379999754365712,0.17296687928992394,106739
