area_fips,industry_code,emp
01000,1011,18933
01000,1012,94633.33333333333
01000,1013,268622.6666666667
01000,1021,402779.3333333334
01000,1022,21717
01000,1023,97859.66666666666
01000,1024,254267.6666666667
01000,1025,437588.6666666667
01000,1026,217476.66666666666
01000,1027,47728
01000,1028,127446.33333333334
02000,1011,15312.333333333334
02000,1012,19005.666666666668
02000,1013,20105
02000,1021,71214
02000,1022,5318
02000,1023,11800
02000,1024,29608.333333333332
02000,1025,69602
02000,1026,44546
02000,1027,10128.666666666666
02000,1028,41654.333333333336
04000,1011,31762.666666666664
04000,1012,175514.3333333333
04000,1013,178301.6666666667
04000,1021,558064.6666666666
04000,1022,50520.66666666667
04000,1023,224760.66666666666
04000,1024,446789
04000,1025,624515.6666666666
04000,1026,348835
04000,1027,78358
04000,1028,151616.6666666667
05000,1011,16429
05000,1012,53512
05000,1013,161814.66666666666
05000,1021,257259
05000,1022,12585.333333333334
05000,1023,52243
05000,1024,146482.33333333334
05000,1025,285970.6666666667
05000,1026,126278.33333333333
05000,1027,25432.333333333336
05000,1028,57442
06000,1011,498868.3333333333
06000,1012,917299
06000,1013,1332753.3333333333
06000,1021,3199125.333333333
06000,1022,565685
06000,1023,851420.6666666666
06000,1024,2757805
06000,1025,3941518.3333333335
06000,1026,2146363.3333333335
06000,1027,557414
06000,1028,859015.3333333334
08000,1011,50389.333333333336
08000,1012,187341.33333333334
08000,1013,151303.66666666666
08000,1021,493366
08000,1022,78808.66666666667
08000,1023,169297
08000,1024,449518
08000,1025,573104.6666666666
08000,1026,365009
08000,1027,86726
08000,1028,154900.6666666667
09000,1011,6014.666666666667
09000,1012,66617.33333333333
09000,1013,163097
09000,1021,298032
09000,1022,34456.666666666664
09000,1023,123587
09000,1024,223362.66666666666
09000,1025,441479
09000,1026,184873
09000,1027,67060
09000,1028,55854.333333333336
10000,1011,1742
10000,1012,24704
10000,1013,27310
10000,1021,81013.33333333333
10000,1022,3909.3333333333335
10000,1023,47860.333333333336
10000,1024,64969
10000,1025,111934
10000,1026,57696.666666666664
10000,1027,12261
10000,1028,14080.333333333332
11000,1011,38.666666666666664
11000,1012,15063
11000,1013,4289.666666666667
11000,1021,41437
11000,1022,23561.333333333336
11000,1023,30562.666666666668
11000,1024,175765.66666666666
11000,1025,128201.66666666666
11000,1026,88693
11000,1027,74191.66666666667
11000,1028,193081.33333333334
12000,1011,60152.33333333333
12000,1012,567243.3333333333
12000,1013,384046
12000,1021,1832148
12000,1022,138857
12000,1023,590044.6666666667
12000,1024,1395684.3333333333
12000,1025,1801402.6666666667
12000,1026,1256463.3333333335
12000,1027,279637.6666666667
12000,1028,461756
13000,1011,29189
13000,1012,205661
13000,1013,403184.6666666667
13000,1021,961453.3333333334
13000,1022,117237.66666666667
13000,1023,243062
13000,1024,720633.3333333334
13000,1025,943096
13000,1026,504084.3333333333
13000,1027,114036.33333333333
13000,1028,239646
15000,1011,5785.333333333333
15000,1012,37685.666666666664
